"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ACTB",1.91434077051184e-103,1.11183825400462,1,1,6.4501797921626e-99
"TUBB",2.48567116703347e-99,0.947613405067012,1,0.999,8.37522043020257e-95
"GAPDH",1.49982136855728e-87,0.755422712539929,1,1,5.05349811921691e-83
"ENO1",2.59173971755582e-80,1.0176373077373,1,0.988,8.73260780433259e-76
"PRDX1",1.26479758942082e-77,1.15433098026435,1,0.97,4.26160899779451e-73
"NPM1",1.61128339781236e-63,0.675005404096179,1,1,5.42905828058898e-59
"RAN",6.89437503489966e-60,0.747117000109956,0.992,0.989,2.32299072425909e-55
"ATP5B",1.62836873021014e-58,0.982257700035065,0.975,0.918,5.48662559957006e-54
"LDHB",5.8451258106243e-58,0.71894972304582,0.996,0.995,1.96945669063175e-53
"MORF4L1",9.70996434984986e-56,0.8947883421598,0.95,0.922,3.27167538803841e-51
"HSPA8",1.48356195698041e-51,0.970825703432307,0.983,0.931,4.99871365784979e-47
"KPNA2",1.57158165771479e-51,1.33151766826451,0.876,0.718,5.29528723750422e-47
"TPI1",9.16722440909323e-50,0.721522474741892,1,0.993,3.08880459239987e-45
"PGK1",1.07704981164202e-48,1.05904436741154,0.917,0.851,3.62901163534662e-44
"MORF4L2",5.95907247705138e-48,0.868231266129388,0.946,0.9,2.00784988041769e-43
"CALM2",6.98102543997855e-46,0.870736927283054,0.975,0.962,2.35218671174637e-41
"HMGB1",8.39895293136877e-46,0.712331700263541,0.996,0.984,2.82994320069539e-41
"PTMA",1.01748524731638e-44,0.563775243964957,1,1,3.4283147923078e-40
"YBX1",1.65405513849646e-43,0.576796067921166,0.992,0.998,5.57317338364998e-39
"HNRNPK",1.78686419482384e-43,0.716130024406286,0.95,0.931,6.02066021803946e-39
"PGAM1",1.28453996067157e-41,0.793692222115657,0.963,0.934,4.32812894348679e-37
"TUBA1B",1.95277753444305e-40,0.743803508315211,1,0.993,6.57968862455242e-36
"CYCS",3.4367298610346e-38,0.866845416113633,0.909,0.806,1.157971759377e-33
"PHGDH",1.59859521889601e-37,0.909530885717691,0.834,0.755,5.38630673054822e-33
"ACTG1",2.39851687909082e-37,0.470875334402941,1,1,8.0815627724086e-33
"PFN1",4.19596903243619e-37,0.570982870715849,0.996,0.995,1.41378980578905e-32
"PSMA4",5.34411176666249e-37,0.814862488530608,0.884,0.862,1.80064501865926e-32
"ALDOA",2.27609701553892e-36,0.716674571349782,0.979,0.973,7.66908128415683e-32
"C1QBP",6.27833660334181e-36,0.85176662428543,0.905,0.852,2.11542273512999e-31
"RPLP0",1.34974202642137e-35,0.319311227746105,1,1,4.54782078382418e-31
"YWHAE",1.02021655421551e-33,0.539981456998706,0.988,0.984,3.43751765777373e-29
"ERH",1.24224300760522e-33,0.559308735938818,0.971,0.953,4.18561358982502e-29
"EIF5A",1.99195177532784e-33,0.783884169616596,0.934,0.919,6.71168231178963e-29
"PTGES3",2.38233557249506e-33,0.719209389872884,0.909,0.922,8.02704147796487e-29
"CCT3",4.24565938763925e-33,0.797283961835222,0.871,0.835,1.43053247407117e-28
"PSMB2",5.91742042356289e-33,0.710323819670872,0.892,0.818,1.99381563751528e-28
"SSBP1",6.16405305080557e-33,0.737823335035343,0.876,0.851,2.07691603493843e-28
"HSP90AB1",2.51061033585901e-32,0.669618897033688,0.996,0.992,8.45925046564336e-28
"SRSF3",3.45126504612693e-32,0.625219012559435,0.979,0.952,1.16286924464201e-27
"PPIA",6.58953182865676e-32,0.518496217998678,0.988,0.988,2.22027685434761e-27
"YWHAQ",6.8003596629136e-32,0.677010226760622,0.896,0.86,2.29131318482211e-27
"RANBP1",8.17145622421424e-32,0.646116679458037,0.975,0.941,2.75329046018675e-27
"XRCC6",1.38282033541217e-31,0.767356247578299,0.855,0.786,4.65927483813778e-27
"SKP1",4.52431975536835e-31,0.577075691971549,0.971,0.945,1.52442429837381e-26
"HSPD1",4.83152651020665e-31,0.723110221691706,0.954,0.915,1.62793454234903e-26
"PRMT1",7.94004425261164e-31,0.669721952914772,0.909,0.898,2.67531851047497e-26
"UCHL1",1.7466821483172e-30,0.861076453772398,0.834,0.766,5.88527083053996e-26
"CCT5",2.34922639345135e-30,0.818298586862128,0.793,0.712,7.91548341009497e-26
"PSMB1",2.94933865327899e-30,0.597246735040219,0.967,0.945,9.93750165835824e-26
"VDAC1",3.43219991387091e-30,0.714356869104984,0.817,0.764,1.15644543897966e-25
"PSMB5",1.17135148847371e-29,0.582983160415855,0.946,0.939,3.94675170526332e-25
"MYL6",8.48149782701844e-29,0.438971960945724,1,0.995,2.85775587783559e-24
"SLC25A5",2.75507253839712e-27,0.598923682558684,0.946,0.931,9.28294141087526e-23
"LDHA",7.99878106186969e-27,0.860380701196948,0.921,0.891,2.69510929098637e-22
"DNAJA1",1.67008357406779e-26,0.673851275180269,0.805,0.717,5.62717959446402e-22
"TALDO1",1.6755425569004e-26,0.728401447284078,0.788,0.699,5.6455730912202e-22
"SNRPN",5.289443107732e-26,0.614373645107583,0.925,0.895,1.78222496071922e-21
"DYNLL1",1.59085277677171e-25,0.572199554128411,0.983,0.961,5.3602193460546e-21
"NUDC",1.6580584552385e-25,0.668152572534117,0.817,0.76,5.58666215908062e-21
