"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGRMC1",1.55798355183768e-23,0.255838746554553,0.85,0.66,5.24946977956188e-19
"YWHAB",1.66577433497733e-23,0.275726936953937,0.926,0.784,5.61266004427263e-19
"ERBB2",2.76084703873755e-23,0.257262442346723,0.464,0.297,9.30239801232229e-19
"UBE2S",5.19341017421018e-23,0.25411345024827,0.85,0.666,1.74986762409838e-18
"CD24",5.22357662449508e-23,0.300325380528444,0.983,0.941,1.76003190785737e-18
"CCND1",5.74835435944959e-23,0.301057269982755,0.748,0.559,1.93685051787294e-18
"SNRPD3",6.01855403870239e-23,0.254824058426833,0.906,0.757,2.02789159780038e-18
"MRPS26",1.83040126218034e-22,0.253879913765186,0.871,0.734,6.16735401279042e-18
"TMEM14B",2.07883606490993e-22,0.253416520771776,0.843,0.701,7.00443023710751e-18
"MRPS15",3.41248439534129e-22,0.264581974343066,0.834,0.691,1.14980249216629e-17
"POLR2F",3.69013356068092e-22,0.253332258322251,0.91,0.798,1.24335360193583e-17
"PTN",4.09676357859725e-22,0.388170038039976,0.74,0.527,1.38036352017256e-17
"MCM3",8.94453265316899e-22,0.26915527957736,0.676,0.492,3.01377083215876e-17
"GGCT",9.46477340558828e-22,0.255945485267544,0.869,0.702,3.18906075127892e-17
"DUT",1.9788317330621e-21,0.254459039973645,0.839,0.696,6.66747564137945e-17
"RPA3",5.74800141795218e-21,0.253769904453677,0.874,0.709,1.93673159776481e-16
"SNRNP25",6.10194072099657e-21,0.25187683525991,0.775,0.597,2.05598790653258e-16
"MFGE8",8.90277971849696e-21,0.253278629373454,0.726,0.555,2.99970259835037e-16
"GPC3",5.79675953374391e-20,0.477357386057978,0.753,0.569,1.95316015729967e-15
"SCGB3A2",1.16040226120741e-19,0.306886439741535,0.578,0.409,3.90985937891224e-15
"LARP7",3.51463079158034e-19,0.258975008196419,0.668,0.496,1.18421969891508e-14
"FST",8.04867910718945e-14,0.268695200889767,0.39,0.267,2.71192193837641e-09
