"col"
"SAMSN1" "Mitotic Mural Cells"
"OLIG1" "Mitotic Mural Cells"
"SAMSN1.1" "Smooth Muscle"
"OLIG2" "Smooth Muscle"
"OLIG1.1" "Venous Cells"
"SAMSN1.2" "Classic Pericyte Cells"
"SAMSN1.3" "Fibroblasts"
"OLIG2.1" "Fibroblasts"
