"ZIC4" "conflicting"
"EBF3" "conflicting"
"DPYSL5" "endoderm"
"ZIC4.1" "endoderm"
"PITX2" "endoderm"
"PDGFRB" "endoderm"
"L1CAM" "endoderm"
"PMM2" "endoderm"
"SHANK3" "endoderm"
"ZIC4.2" "mesoderm"
